440FI539,440FI540,440PDI541,440PDI564,440PDIC565,440PI546,440PI551,440PI553,440PI558A,440PI558B,440PI558C,440PI561A,440FI539_binary,440FI539_prediction
3.823,3.316,0.01,0.375,4.649,3.635,0.463,0.47,1.721,1.692,1.541,1.786,1,1.0
3.798,3.304,0.01,0.375,4.681,3.635,0.464,0.47,1.719,1.69,1.539,1.781,0,1.0
3.827,3.304,0.01,0.375,4.658,3.637,0.464,0.47,1.721,1.692,1.54,1.783,1,0.0
3.821,3.28,0.01,0.375,4.654,3.636,0.465,0.47,1.722,1.692,1.541,1.783,1,1.0
3.83,3.278,0.01,0.376,4.683,3.636,0.464,0.47,1.721,1.694,1.541,1.786,1,1.0
3.81,3.284,0.01,0.375,4.675,3.636,0.464,0.47,1.721,1.692,1.541,1.783,0,0.0
3.836,3.293,0.01,0.375,4.689,3.634,0.465,0.469,1.721,1.692,1.541,1.783,1,0.0
3.797,3.307,0.01,0.375,4.694,3.633,0.465,0.469,1.721,1.692,1.541,1.781,0,0.0
3.844,3.309,0.01,0.376,4.668,3.633,0.465,0.469,1.721,1.692,1.541,1.781,1,1.0
3.807,3.328,0.01,0.375,4.735,3.632,0.465,0.468,1.721,1.692,1.54,1.781,0,0.0
3.792,3.317,0.01,0.374,4.662,3.63,0.464,0.469,0.0,1.694,1.543,1.783,0,1.0
3.811,3.326,0.01,0.376,4.666,3.637,0.465,0.469,1.724,1.694,1.543,1.788,0,0.0
3.829,3.291,0.01,0.375,4.681,3.636,0.464,0.469,1.726,1.694,1.545,1.79,1,0.0
3.811,3.296,0.01,0.376,4.66,3.638,0.464,0.47,1.724,1.694,1.543,1.786,0,1.0
3.814,3.302,0.01,0.375,4.666,3.637,0.464,0.47,1.724,1.694,1.543,1.783,0,0.0
3.798,3.299,0.01,0.375,4.66,3.636,0.464,0.47,1.724,1.694,1.543,1.785,0,0.0
3.814,3.324,0.01,0.375,4.674,3.635,0.463,0.47,1.719,1.69,1.541,1.783,0,0.0
3.83,3.307,0.01,0.376,4.673,3.635,0.463,0.47,1.721,1.692,1.543,1.784,1,1.0
3.813,3.314,0.01,0.375,4.679,3.638,0.463,0.47,1.726,1.696,1.545,1.788,0,0.0
3.805,3.334,0.01,0.375,4.661,3.637,0.463,0.47,1.726,1.696,1.545,1.788,0,0.0
3.821,3.303,0.01,0.375,4.674,3.638,0.463,0.47,1.724,1.694,1.543,1.788,1,0.0
3.819,3.319,0.01,0.375,4.679,3.64,0.464,0.471,1.724,1.694,1.543,1.788,1,0.0
3.842,3.297,0.01,0.374,4.663,3.64,0.464,0.471,1.724,1.694,1.543,1.79,1,0.0
3.808,3.293,0.01,0.376,4.713,3.64,0.464,0.471,1.722,1.692,1.541,1.79,0,0.0
3.797,3.314,0.01,0.375,4.685,3.642,0.464,0.471,1.721,1.692,1.541,1.79,0,0.0
3.804,3.303,0.01,0.377,4.709,3.641,0.464,0.471,1.724,1.694,1.543,1.79,0,0.0
3.838,3.32,0.01,0.375,4.687,3.64,0.465,0.471,1.722,1.692,1.541,1.788,1,0.0
3.805,3.319,0.01,0.376,4.684,3.639,0.465,0.47,1.719,1.689,1.538,1.786,0,0.0
3.816,3.31,0.01,0.374,4.658,3.636,0.465,0.47,1.715,1.685,1.534,1.783,1,0.0
3.81,3.318,0.01,0.374,4.672,3.636,0.465,0.469,1.719,1.689,1.538,1.785,0,0.0
3.791,3.35,0.01,0.376,4.66,3.636,0.464,0.469,1.715,1.685,1.534,1.783,0,0.0
3.828,3.31,0.01,0.376,4.672,3.637,0.464,0.47,1.717,1.687,1.536,1.785,1,0.0
3.797,3.294,0.01,0.376,4.681,3.638,0.463,0.471,1.717,1.687,1.536,1.788,0,0.0
3.804,3.333,0.01,0.376,4.66,3.64,0.464,0.471,1.717,1.685,1.536,1.786,0,1.0
3.823,3.322,0.01,0.376,4.702,3.64,0.464,0.471,1.719,1.689,1.538,1.788,1,1.0
3.804,3.294,0.01,0.377,4.684,3.64,0.464,0.471,1.717,1.687,1.536,1.79,0,0.0
3.819,3.299,0.01,0.376,4.692,3.639,0.464,0.471,1.719,1.689,1.538,1.788,1,0.0
3.836,3.303,0.01,0.374,4.663,3.637,0.464,0.471,1.713,1.683,1.532,1.783,1,0.0
3.798,3.309,0.01,0.375,4.709,3.638,0.464,0.47,1.715,1.685,1.534,1.783,0,0.0
3.799,3.309,0.01,0.374,4.673,3.635,0.465,0.469,1.71,1.683,1.532,1.781,0,0.0
3.823,3.308,0.01,0.375,4.69,3.635,0.465,0.469,1.712,1.682,1.531,1.779,1,0.0
3.81,3.311,0.01,0.374,4.694,3.635,0.466,0.47,1.717,1.687,1.536,1.779,0,0.0
3.806,3.288,0.01,0.376,4.703,3.633,0.466,0.469,1.717,1.687,1.536,1.781,0,0.0
3.816,3.301,0.01,0.375,4.712,3.634,0.467,0.468,1.717,1.687,1.536,1.779,1,0.0
3.83,3.308,0.01,0.375,4.696,3.635,0.468,0.467,1.721,1.692,1.54,1.785,1,0.0
3.829,3.323,0.01,0.375,4.667,3.635,0.467,0.466,1.724,1.694,1.543,1.788,1,0.0
3.823,3.301,0.01,0.374,4.68,3.64,0.467,0.466,1.735,1.703,1.554,1.795,1,1.0
3.814,3.312,0.01,0.374,4.69,3.642,0.467,0.465,1.737,1.705,1.556,1.799,0,1.0
3.813,3.334,0.01,0.375,4.676,3.64,0.466,0.465,1.731,1.701,1.55,1.801,0,0.0
3.803,3.277,0.01,0.375,4.673,3.641,0.466,0.465,1.735,1.705,1.554,1.804,0,1.0
3.821,3.334,0.01,0.374,4.633,3.647,0.466,0.465,1.735,1.705,1.554,1.806,1,1.0
3.81,3.31,0.01,0.374,4.65,3.648,0.466,0.466,1.737,1.708,1.557,1.808,0,1.0
3.815,3.298,0.01,0.374,4.665,3.648,0.466,0.466,1.74,1.71,1.559,1.811,0,0.0
3.801,3.39,0.01,0.375,4.681,3.643,0.467,0.465,1.737,1.708,1.556,1.808,0,0.0
3.806,3.387,0.01,0.374,4.652,3.638,0.467,0.465,1.733,1.703,1.552,1.804,0,1.0
3.796,3.391,0.01,0.373,4.682,3.638,0.466,0.465,1.731,1.701,1.55,1.804,0,1.0
3.801,3.411,0.01,0.374,4.69,3.638,0.466,0.466,1.733,1.703,1.552,1.804,0,0.0
3.821,3.381,0.01,0.376,4.681,3.643,0.465,0.466,1.731,1.701,1.55,1.806,1,0.0
3.822,3.405,0.01,0.375,4.653,3.647,0.465,0.467,1.737,1.705,1.556,1.811,1,0.0
3.823,3.363,0.01,0.375,4.687,3.65,0.465,0.467,1.737,1.708,1.557,1.811,1,0.0
3.823,3.388,0.01,0.375,4.701,3.65,0.464,0.467,1.735,1.706,1.555,1.809,1,0.0
3.825,3.375,0.01,0.374,4.671,3.649,0.464,0.468,1.731,1.701,1.55,1.804,1,1.0
3.803,3.398,0.01,0.374,4.678,3.647,0.464,0.468,1.726,1.696,1.545,1.802,0,0.0
